[2025-01-08, 4:26:09 PM] Sam: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[2024-04-22, 8:44:37 PM] Priya Nair: that's so real
[2024-04-23, 4:34:16 PM] Sam: ok but same
[2024-04-24, 6:52:45 PM] Priya Nair: i'm so tired
[2024-04-24, 7:03:32 PM] Priya Nair: i can't
[2024-04-24, 7:45:44 PM] Priya Nair: maybe
[2024-04-24, 9:23:10 PM] Sam: let me check
[2024-04-25, 4:41:04 PM] Priya Nair: i failed that
[2024-04-25, 5:46:30 PM] Priya Nair: sounds good
[2024-04-25, 8:20:18 PM] Priya Nair: i failed that
[2024-04-26, 5:41:54 PM] Priya Nair: yeah
[2024-04-26, 6:54:47 PM] Priya Nair: i'm crying
[2024-04-26, 9:25:46 PM] Priya Nair: did you see that
[2024-04-28, 6:18:25 PM] Sam: study group later?
[2024-04-28, 8:32:06 PM] Priya Nair: lmaooo
[2024-04-29, 5:38:23 PM] Priya Nair: i can't
[2024-04-29, 7:19:36 PM] Priya Nair: lmaooo
[2024-04-29, 8:53:00 PM] Priya Nair: let me check
[2024-04-30, 5:55:30 PM] Priya Nair: i'm dying
[2024-05-02, 6:20:50 PM] Priya Nair: same tbh
[2024-05-02, 7:17:59 PM] Priya Nair: did you see that
[2024-05-03, 4:54:24 PM] Priya Nair: almost done
[2024-05-03, 6:46:48 PM] Priya Nair: lmaooo
[2024-05-03, 8:33:48 PM] Sam: did you see that
[2024-05-04, 5:23:39 PM] Sam: fr
[2024-05-04, 8:14:46 PM] Priya Nair: almost done
[2024-05-05, 4:07:50 PM] Priya Nair: almost done
[2024-05-05, 5:33:05 PM] Priya Nair: i'm so tired
[2024-05-05, 8:09:54 PM] Sam: what time
[2024-05-05, 9:54:18 PM] Priya Nair: no way
[2024-05-06, 4:02:27 PM] Priya Nair: bet
[2024-05-06, 4:08:48 PM] Priya Nair: i'm dying
[2024-05-07, 5:30:18 PM] Priya Nair: stopppp
[2024-05-10, 4:51:50 PM] Sam: study group later?
[2024-05-10, 6:12:24 PM] Priya Nair: bet
[2024-05-10, 8:33:07 PM] Priya Nair: i can't
[2024-05-10, 10:29:32 PM] Priya Nair: no thoughts
[2024-05-11, 5:29:24 PM] Sam: coming
[2024-05-11, 9:26:01 PM] Priya Nair: bet
[2024-05-11, 10:28:11 PM] Priya Nair: hold on
[2024-05-12, 4:06:32 PM] Priya Nair: sounds good
